counties,Homicide,Offences Against The Person,Sexual Offences,Burglary,Robbery,Theft And Handling,Fraud And Forgery ,Criminal Damage,Drugs Offences,Public Order Offences,All Other Offences (excluding Motoring),Motoring Offences ,Date
Northumbria,7,308,53,61,8,347,44,80,79,160,13,167,31/12/2015
North Wales,1,153,20,16,0,148,8,36,39,55,5,104,31/12/2015
North Yorkshire,1,110,7,37,4,104,19,36,53,40,5,100,31/12/2015
Nottinghamshire,4,268,15,43,14,163,17,56,134,74,21,155,31/12/2015
South Wales,4,374,16,46,15,261,17,57,185,94,15,429,31/12/2015
South Yorkshire,2,207,6,45,7,273,15,76,88,79,14,165,31/12/2015
Staffordshire,1,217,23,22,1,173,11,45,78,59,8,154,31/12/2015
Suffolk,2,125,9,10,5,73,6,18,46,36,9,76,31/12/2015
Surrey,0,120,10,7,2,52,10,11,54,21,5,129,31/12/2015
Sussex,1,253,24,20,8,187,33,25,82,73,6,179,31/12/2015
Thames Valley,11,289,40,26,12,164,22,33,110,82,19,161,31/12/2015
Warwickshire,0,79,12,8,0,76,2,9,33,18,7,89,31/12/2015
West Mercia,1,216,26,11,4,137,18,48,49,49,19,191,31/12/2015
West Midlands,6,697,77,61,45,692,81,123,230,230,54,349,31/12/2015
West Yorkshire,4,564,61,75,30,290,21,109,143,98,24,223,31/12/2015
Wiltshire,1,114,6,9,0,94,3,23,32,27,8,60,31/12/2015
